question,Goldstandard
What is EDICT syndrome,"EDICT (endothelial dystrophy-iris hypoplasia-congenital cataract-stromal thinning) syndrome is a very rare eye disorder representing a constellation of autosomal dominantly inherited ocular findings, including early-onset or congenital cataracts, corneal stromal thinning, early-onset keratoconus, corneal endothelial dystrophy, and iris hypoplasia."
What is Corneal fleck dystrophy,"Fleck corneal dystrophy (FCD) is a rare generally asymptomatic form of stromal corneal dystrophy characterized by multiple asymptomatic, non-progressive opacities disseminated throughout the corneal stroma with no effect on visual acuity."
What is Nephropathy due to CFHR5 deficiency,"Glomerulonephritis characterized by C3 accumulation with little or absent deposition of immunoglobulin, in the absence of ultrastructural electron-dense transformation seen in dense deposit disease."
What is Glycine N-methyltransferase deficiency,"Glycine N-methyltransferase deficiency (GNMT deficiency) is a very rare condition characterized by persistent and isolated excess levels of methionine in the blood (hypermethioninemia). The only clinical abnormalities are mild increase of the liver size (hepatomegaly) and chronic elevation of the transaminase levels in the blood without liver disease. Methionine may also be increased in urine. However, because elevated levels of methionine in the blood itself is a risk factor for development of neurological signs and symptoms, people with GNMT deficiency can have neurological problems when methionine levelsare greater than 800Ã×mol/L. GNMT deficiency is caused by mutations in the GNMT gene. Inheritance is autosomal recessive. Treatment is not needed in most cases."
What is (are) Tay-Sachs Disease ?,"GM2 gangliosidosis, variant B or Tay-Sachs disease is marked by accumulation of G2 gangliosides due to hexosaminidase A deficiency."
What is Haim-Munk syndrome,"Haim-Munk syndrome (HMS) is characterized by palmoplantar hyperkeratosis, severe early-onset periodontitis, onychogryposis, pes planus, arachnodactyly and acroosteolysis."
What is Holt-Oram syndrome,Holt-Oram syndrome (HOS) is the most common form of heart-hand syndrome and is characterized by skeletal abnormalities of the upper limbs and mild-to-severe congenital cardiac defects.
What is (are) Hyperthyroidism ?,"Hyperthyroidism is a disorder that occurs when the thyroid gland makes more thyroid hormone than the body needs. Hyperthyroidism is sometimes called thyrotoxicosis, the technical term for too much thyroid hormone in the blood. Thyroid hormones circulate throughout the body in the bloodstream and act on virtually every tissue and cell in the body. Hyperthyroidism causes many of the bodys functions to speed up. About 1 percent of the U.S. population has hyperthyroidism."
What is (are) Sickle cell anemia ?,"Sickle cell anemias are chronic hemolytic diseases that may induce three types of acute accidents: severe anemia, severe bacterial infections, and ischemic vasoocclusive accidents (VOA) caused by sickle-shaped red blood cells obstructing small blood vessels and capillaries. Many diverse complications can occur."
What is (are) Alzheimer's Disease ?,"A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language."
What is Meesmann corneal dystrophy,"Meesmann corneal dystrophy (MECD) is a rare form of superficial corneal dystrophy characterized by distinct tiny bubble-like, round-to-oval punctate bilateral opacities in the central corneal epithelium, and to a lesser extent in the peripheral cornea, with little impact on vision."
What is Multiple system atrophy,"Multiple system atrophy (MSA) is a neurodegenerative disorder characterized by autonomic failure (cardiovascular and/or urinary), parkinsonism, cerebellar impairment and corticospinal signs with a median survival of 6-9 years."
What is Orofaciodigital syndrome XIV,"Orofaciodigital syndrome type 14 is a rare subtype of orofaciodigital syndrome, with autosomal recessive inheritance and C2CD3 mutations, characterized by severe microcephaly, trigonocephaly, severe intellectual disability and micropenis, in addition to oral, facial and digital malformations (gingival frenulae, lingual hamartomas, cleft/lobulated tongue, cleft palate, telecanthus, up-slanting palpebral fissures, microretrognathia, postaxial polydactyly of hands and duplication of hallux). Corpus callosum agenesis and vermis hypoplasia with molar tooth sign, on brain imaging, are also associated."
What is Immunodeficiency due to defect in MAPBP-interacting protein,"Primary immunodeficiency syndrome due to p14 deficiency is characterized by short stature, hypopigmentation, coarse facies and frequent bronchopulmonary Streptococcus pneumoniae infections."
What is Spondylocarpotarsal synostosis syndrome,"Spondylocarpotarsal synostosis (SCT) syndrome is a skeletal dysplasia clinically characterized by postnatal progressive vertebral fusions frequently manifesting as block vertebrae, contributing to an undersized trunk and a disproportionate short stature, scoliosis, lordosis, carpal and tarsal synostosis, with club feet and a mild facial dysmorphism."
What is (are) Wilson Disease ?,"Wilson disease is an autosomal recessive disorder characterized by dramatic build-up of intracellular hepatic copper with subsequent hepatic and neurologic abnormalities.

De Bie et al. (2007) provided a detailed review of the molecular pathogenesis of Wilson disease."
What is (are) Beckwith-Wiedemann syndrome ?,"Beckwith-Wiedemann syndrome (BWS) is a genetic disorder characterized by overgrowth, tumor predisposition and congenital malformations."
What is (are) Lipoid congenital adrenal hyperplasia?,Congenital lipoid adrenal hyperplasia (CLAH) is one of the most severe forms of congenital adrenal hyperplasia (CAH) characterized by severe adrenal insufficiency and sex reversal in males.
What is (are) Ellis-van Creveld Syndrome?,"Ellis-van Creveld syndrome (EVC) is a skeletal and ectoderlam dysplasia characterized by a tetrad of short stature, postaxial polydactyly, ectodermal dysplasia, and congenital heart defects."
What is (are) Osteogenesis Imperfecta?,"Osteogenesis imperfecta (OI) comprises a heterogeneous group of genetic disorders characterized by increased bone fragility, low bone mass, and susceptibility to bone fractures with variable severity."
What is (are) Fanconi Anemia?,"Fanconi anemia (FA) is a hereditary DNA repair disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors."
What is (are) Primary Ciliary Dyskinesia?,"A rare, genetically heterogeneous, primarily respiratory disorder characterized by chronic upper and lower respiratory tract disease. Approximately half of PCD patients have an organ laterality defect (situs inversus totalis or situs ambiguus/heterotaxy)."
What is (are) Myasthenia Gravis?,"Myasthenia gravis (MG) is a rare, clinically heterogeneous, autoimmune disorder of the neuromuscular junction characterized by fatigable weakness of voluntary muscles."
What is (are) Retinoblastoma?,"An inherited malignant tumor that originates in the nuclear layer of the retina. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma."
